Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Banking
2012-09-02 - 2012-09-08,+173%
2012-09-09 - 2012-09-15,+145%
2012-09-16 - 2012-09-22,+142%
2012-09-23 - 2012-09-29,+161%
2012-09-30 - 2012-10-06,+173%
2012-10-07 - 2012-10-13,+136%
2012-10-14 - 2012-10-20,+133%
2012-10-21 - 2012-10-27,+145%
2012-10-28 - 2012-11-03,+164%
2012-11-04 - 2012-11-10,+158%
2012-11-11 - 2012-11-17,+136%
2012-11-18 - 2012-11-24,+61%
2012-11-25 - 2012-12-01, 



Top searches
cgd,100
bes,65
totta,40
montepio,40
bpi,35
banco,30
santander,30
totta santander,20
banif,15
besnet,15
caixa,15
montepio geral,10
cgd online,10
bcp,10
millenium,5
caixadirecta,5
banco popular,5
popular,5
bpinet,5
banco portugal,5



Rising searches
banco popular,Breakout
bpinet,Breakout
cgd online,Breakout
popular,Breakout
totta santander,Breakout
besnet,+450%
caixadirecta,+250%
santander,+250%
cgd,+150%
bes,+140%



