Web Search Interest
United States; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2011-11-20 - 2011-11-26,+4%
2011-11-27 - 2011-12-03,+4%
2011-12-04 - 2011-12-10,+6%
2011-12-11 - 2011-12-17,+12%
2011-12-18 - 2011-12-24,+8%
2011-12-25 - 2011-12-31,+16%
2012-01-01 - 2012-01-07,+10%
2012-01-08 - 2012-01-14,+12%
2012-01-15 - 2012-01-21,+10%
2012-01-22 - 2012-01-28,+12%
2012-01-29 - 2012-02-04,+12%
2012-02-05 - 2012-02-11,+10%
2012-02-12 - 2012-02-18,+6%
2012-02-19 - 2012-02-25,+6%
2012-02-26 - 2012-03-03,+2%
2012-03-04 - 2012-03-10,+6%
2012-03-11 - 2012-03-17,+4%
2012-03-18 - 2012-03-24,+2%
2012-03-25 - 2012-03-31,+0%
2012-04-01 - 2012-04-07,-4%
2012-04-08 - 2012-04-14,-4%
2012-04-15 - 2012-04-21,-2%
2012-04-22 - 2012-04-28,-4%
2012-04-29 - 2012-05-05,-4%
2012-05-06 - 2012-05-12,-2%
2012-05-13 - 2012-05-19,-6%
2012-05-20 - 2012-05-26,-6%
2012-05-27 - 2012-06-02,-12%
2012-06-03 - 2012-06-09,-12%
2012-06-10 - 2012-06-16,-16%
2012-06-17 - 2012-06-23,-16%
2012-06-24 - 2012-06-30,-20%
2012-07-01 - 2012-07-07,-20%
2012-07-08 - 2012-07-14,-20%
2012-07-15 - 2012-07-21,-20%
2012-07-22 - 2012-07-28,-20%
2012-07-29 - 2012-08-04,-26%
2012-08-05 - 2012-08-11,-24%
2012-08-12 - 2012-08-18,-24%
2012-08-19 - 2012-08-25,-20%
2012-08-26 - 2012-09-01,-20%
2012-09-02 - 2012-09-08,-20%
2012-09-09 - 2012-09-15,-18%
2012-09-16 - 2012-09-22,-16%
2012-09-23 - 2012-09-29,-18%
2012-09-30 - 2012-10-06,-14%
2012-10-07 - 2012-10-13,-14%
2012-10-14 - 2012-10-20,-14%
2012-10-21 - 2012-10-27,-12%
2012-10-28 - 2012-11-03,-14%
2012-11-04 - 2012-11-10,-14%
2012-11-11 - 2012-11-17,-8%
2012-11-18 - 2012-11-24,-12%
2012-11-25 - 2012-12-01, 



Top searches
crossword,100
sudoku,100
puzzles,80
puzzle,60
scrabble,35
crossword puzzles,25
jigsaw,20
crossword puzzle,15
anagram,15
riddles,15
illusions,15
word search,10
scrabble words,10
scrabble dictionary,10
usa today,10
jigsaw puzzles,10
free puzzles,10
fun brain,10
crosswords,10
optical illusions,10



Rising searches
sudoku,Breakout
sudoku puzzles,Breakout
la crossword,+1,350%
scrabble help,+1,050%
scrabble words,+450%
scrabble,+250%
usa today,+190%
usa today crossword,+170%
fun brain,+140%
usa crossword,+140%



