Web Search Interest
France; 2004 - present

Interest over time
Week,Family-Oriented Games & Activities
2011-01-30 - 2011-02-05,+152%
2011-02-06 - 2011-02-12,+157%
2011-02-13 - 2011-02-19,+171%
2011-02-20 - 2011-02-26,+195%
2011-02-27 - 2011-03-05,+190%
2011-03-06 - 2011-03-12,+157%
2011-03-13 - 2011-03-19,+148%
2011-03-20 - 2011-03-26,+148%
2011-03-27 - 2011-04-02,+143%
2011-04-03 - 2011-04-09,+133%
2011-04-10 - 2011-04-16,+176%
2011-04-17 - 2011-04-23,+200%
2011-04-24 - 2011-04-30,+210%
2011-05-01 - 2011-05-07,+176%
2011-05-08 - 2011-05-14,+167%
2011-05-15 - 2011-05-21,+152%
2011-05-22 - 2011-05-28,+152%
2011-05-29 - 2011-06-04,+181%
2011-06-05 - 2011-06-11,+157%
2011-06-12 - 2011-06-18,+171%
2011-06-19 - 2011-06-25,+167%
2011-06-26 - 2011-07-02,+186%
2011-07-03 - 2011-07-09,+186%
2011-07-10 - 2011-07-16,+186%
2011-07-17 - 2011-07-23,+186%
2011-07-24 - 2011-07-30,+186%
2011-07-31 - 2011-08-06,+195%
2011-08-07 - 2011-08-13,+195%
2011-08-14 - 2011-08-20,+195%
2011-08-21 - 2011-08-27,+205%
2011-08-28 - 2011-09-03,+229%
2011-09-04 - 2011-09-10,+181%
2011-09-11 - 2011-09-17,+167%
2011-09-18 - 2011-09-24,+171%
2011-09-25 - 2011-10-01,+157%
2011-10-02 - 2011-10-08,+143%
2011-10-09 - 2011-10-15,+129%
2011-10-16 - 2011-10-22,+129%
2011-10-23 - 2011-10-29,+205%
2011-10-30 - 2011-11-05,+176%
2011-11-06 - 2011-11-12,+162%
2011-11-13 - 2011-11-19,+148%
2011-11-20 - 2011-11-26,+148%
2011-11-27 - 2011-12-03,+152%
2011-12-04 - 2011-12-10,+157%
2011-12-11 - 2011-12-17,+176%
2011-12-18 - 2011-12-24,+238%
2011-12-25 - 2011-12-31,+200%
2012-01-01 - 2012-01-07,+138%
2012-01-08 - 2012-01-14,+119%
2012-01-15 - 2012-01-21,+129%
2012-01-22 - 2012-01-28,+143%
2012-01-29 - 2012-02-04,+129%
2012-02-05 - 2012-02-11,+143%
2012-02-12 - 2012-02-18,+162%
2012-02-19 - 2012-02-25,+167%
2012-02-26 - 2012-03-03,+157%
2012-03-04 - 2012-03-10,+148%
2012-03-11 - 2012-03-17,+124%
2012-03-18 - 2012-03-24,+124%
2012-03-25 - 2012-03-31,+119%
2012-04-01 - 2012-04-07,+129%
2012-04-08 - 2012-04-14,+157%
2012-04-15 - 2012-04-21,+157%
2012-04-22 - 2012-04-28,+152%
2012-04-29 - 2012-05-05,+148%
2012-05-06 - 2012-05-12,+124%
2012-05-13 - 2012-05-19,+133%
2012-05-20 - 2012-05-26,+105%
2012-05-27 - 2012-06-02,+110%
2012-06-03 - 2012-06-09,+110%
2012-06-10 - 2012-06-16,+110%
2012-06-17 - 2012-06-23,+105%
2012-06-24 - 2012-06-30,+124%
2012-07-01 - 2012-07-07,+138%
2012-07-08 - 2012-07-14,+133%
2012-07-15 - 2012-07-21,+124%
2012-07-22 - 2012-07-28,+119%
2012-07-29 - 2012-08-04,+129%
2012-08-05 - 2012-08-11,+124%
2012-08-12 - 2012-08-18,+124%
2012-08-19 - 2012-08-25,+119%
2012-08-26 - 2012-09-01,+124%
2012-09-02 - 2012-09-08,+100%
2012-09-09 - 2012-09-15,+86%
2012-09-16 - 2012-09-22,+86%
2012-09-23 - 2012-09-29,+86%
2012-09-30 - 2012-10-06,+81%
2012-10-07 - 2012-10-13,+81%
2012-10-14 - 2012-10-20,+86%
2012-10-21 - 2012-10-27,+95%
2012-10-28 - 2012-11-03,+157%
2012-11-04 - 2012-11-10,+138%
2012-11-11 - 2012-11-17,+86%
2012-11-18 - 2012-11-24,+167%
2012-11-25 - 2012-12-01, 



Top searches
jeux,100
ma,95
bimbo,95
ma bimbo,90
jeux de,75
jeux fille,55
jeux de fille,45
jeu,35
stardoll,20
jeu fille,20
jeu de fille,15
coloriage,15
jeux gratuit,15
mabimbo,15
jeux filles,10
barbie,10
pages jaunes.fr,10
jeux gratuit fille,10
princesse,10
habillage,5



Rising searches
bimbo,Breakout
jeu de fille,Breakout
jeu fille,Breakout
jeux de fille,Breakout
jeux fille,Breakout
ma,Breakout
ma bimbo,Breakout
mabimbo,Breakout
stardoll,Breakout
jeux gratuit,+1,450%



