Web Search Interest
Germany; 2004 - present

Interest over time
Week,Winter Sports
2011-04-17 - 2011-04-23,-78%
2011-04-24 - 2011-04-30,-78%
2011-05-01 - 2011-05-07,-80%
2011-05-08 - 2011-05-14,-81%
2011-05-15 - 2011-05-21,-81%
2011-05-22 - 2011-05-28,-80%
2011-05-29 - 2011-06-04,-79%
2011-06-05 - 2011-06-11,-80%
2011-06-12 - 2011-06-18,-79%
2011-06-19 - 2011-06-25,-78%
2011-06-26 - 2011-07-02,-80%
2011-07-03 - 2011-07-09,-75%
2011-07-10 - 2011-07-16,-79%
2011-07-17 - 2011-07-23,-78%
2011-07-24 - 2011-07-30,-78%
2011-07-31 - 2011-08-06,-78%
2011-08-07 - 2011-08-13,-77%
2011-08-14 - 2011-08-20,-78%
2011-08-21 - 2011-08-27,-78%
2011-08-28 - 2011-09-03,-78%
2011-09-04 - 2011-09-10,-77%
2011-09-11 - 2011-09-17,-77%
2011-09-18 - 2011-09-24,-75%
2011-09-25 - 2011-10-01,-75%
2011-10-02 - 2011-10-08,-74%
2011-10-09 - 2011-10-15,-72%
2011-10-16 - 2011-10-22,-69%
2011-10-23 - 2011-10-29,-69%
2011-10-30 - 2011-11-05,-68%
2011-11-06 - 2011-11-12,-67%
2011-11-13 - 2011-11-19,-65%
2011-11-20 - 2011-11-26,-65%
2011-11-27 - 2011-12-03,-58%
2011-12-04 - 2011-12-10,-47%
2011-12-11 - 2011-12-17,-51%
2011-12-18 - 2011-12-24,-51%
2011-12-25 - 2011-12-31,-33%
2012-01-01 - 2012-01-07,-27%
2012-01-08 - 2012-01-14,-38%
2012-01-15 - 2012-01-21,-41%
2012-01-22 - 2012-01-28,-47%
2012-01-29 - 2012-02-04,-44%
2012-02-05 - 2012-02-11,-42%
2012-02-12 - 2012-02-18,-51%
2012-02-19 - 2012-02-25,-56%
2012-02-26 - 2012-03-03,-51%
2012-03-04 - 2012-03-10,-45%
2012-03-11 - 2012-03-17,-59%
2012-03-18 - 2012-03-24,-68%
2012-03-25 - 2012-03-31,-74%
2012-04-01 - 2012-04-07,-76%
2012-04-08 - 2012-04-14,-78%
2012-04-15 - 2012-04-21,-79%
2012-04-22 - 2012-04-28,-80%
2012-04-29 - 2012-05-05,-81%
2012-05-06 - 2012-05-12,-80%
2012-05-13 - 2012-05-19,-79%
2012-05-20 - 2012-05-26,-80%
2012-05-27 - 2012-06-02,-81%
2012-06-03 - 2012-06-09,-81%
2012-06-10 - 2012-06-16,-81%
2012-06-17 - 2012-06-23,-81%
2012-06-24 - 2012-06-30,-80%
2012-07-01 - 2012-07-07,-79%
2012-07-08 - 2012-07-14,-78%
2012-07-15 - 2012-07-21,-77%
2012-07-22 - 2012-07-28,-77%
2012-07-29 - 2012-08-04,-77%
2012-08-05 - 2012-08-11,-77%
2012-08-12 - 2012-08-18,-78%
2012-08-19 - 2012-08-25,-78%
2012-08-26 - 2012-09-01,-78%
2012-09-02 - 2012-09-08,-77%
2012-09-09 - 2012-09-15,-76%
2012-09-16 - 2012-09-22,-76%
2012-09-23 - 2012-09-29,-75%
2012-09-30 - 2012-10-06,-74%
2012-10-07 - 2012-10-13,-74%
2012-10-14 - 2012-10-20,-74%
2012-10-21 - 2012-10-27,-71%
2012-10-28 - 2012-11-03,-69%
2012-11-04 - 2012-11-10,-69%
2012-11-11 - 2012-11-17,-69%
2012-11-18 - 2012-11-24,-67%
2012-11-25 - 2012-12-01, 



Top searches
ski,100
biathlon,60
snowboard,45
winterberg,30
burton,25
salomon,25
willingen,25
skispringen,20
oberstdorf,20
nicole,20
ruhpolding,15
madeleine,15
atomic,15
magdalena neuner,15
snow,10
schlitten,10
skihalle,10
langlauf,10
völkl,10
dsv,10



Rising searches
magdalena neuner,Breakout
bispingen,+300%
madeleine,+160%
eve,+90%
biathlon,+70%
biathlon wm,+60%
krieger,+50%
ruhpolding,+50%
schlitten,+40%
schlittschuhe,+40%



