Web Search Interest
United States; 2004 - present

Interest over time
Week,Yard & Patio
2012-06-24 - 2012-06-30,+44%
2012-07-01 - 2012-07-07,+56%
2012-07-08 - 2012-07-14,+41%
2012-07-15 - 2012-07-21,+28%
2012-07-22 - 2012-07-28,+26%
2012-07-29 - 2012-08-04,+36%
2012-08-05 - 2012-08-11,+21%
2012-08-12 - 2012-08-18,+18%
2012-08-19 - 2012-08-25,+18%
2012-08-26 - 2012-09-01,+13%
2012-09-02 - 2012-09-08,+18%
2012-09-09 - 2012-09-15,+10%
2012-09-16 - 2012-09-22,+10%
2012-09-23 - 2012-09-29,+5%
2012-09-30 - 2012-10-06,+0%
2012-10-07 - 2012-10-13,-3%
2012-10-14 - 2012-10-20,-8%
2012-10-21 - 2012-10-27,-5%
2012-10-28 - 2012-11-03,-13%
2012-11-04 - 2012-11-10,-10%
2012-11-11 - 2012-11-17,-10%
2012-11-18 - 2012-11-24,+0%
2012-11-25 - 2012-12-01, 



Top searches
fence,100
patio,100
table,85
grass,60
grills,60
lawn,45
patio furniture,45
weber,45
deck,40
fencing,40
bbq,40
outdoor furniture,30
gas grill,25
briggs stratton,25
weber grill,20
umbrella,20
briggs and stratton,20
fences,20
hammock,20
gas grills,15



Rising searches
fire pit,+130%
median,+80%
bbq,+70%
briggs and stratton,+60%
charcoal grill,+50%
pergola,+50%
umbrella,+50%



